Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
TA,Live animals,169,Paraguay,5908,Export Quantity,866,Cattle,1963,1963,Head,0,,Official data
TA,Live animals,170,Peru,5608,Import Quantity,866,Cattle,1963,1963,Head,131258,,Official data
TA,Live animals,170,Peru,5908,Export Quantity,866,Cattle,1963,1963,Head,0,,Official data
TA,Live animals,19,Bolivia (Plurinational State of),5608,Import Quantity,866,Cattle,1963,1963,Head,13900,*,Unofficial figure
TA,Live animals,19,Bolivia (Plurinational State of),5908,Export Quantity,866,Cattle,1963,1963,Head,2367,,Official data
TA,Live animals,21,Brazil,5608,Import Quantity,866,Cattle,1963,1963,Head,24245,,Official data
TA,Live animals,21,Brazil,5908,Export Quantity,866,Cattle,1963,1963,Head,2254,,Official data
TA,Live animals,234,Uruguay,5608,Import Quantity,866,Cattle,1963,1963,Head,86,*,Unofficial figure
TA,Live animals,234,Uruguay,5908,Export Quantity,866,Cattle,1963,1963,Head,5666,*,Unofficial figure
TA,Live animals,236,Venezuela (Bolivarian Republic of),5608,Import Quantity,866,Cattle,1963,1963,Head,98876,*,Unofficial figure
TA,Live animals,236,Venezuela (Bolivarian Republic of),5908,Export Quantity,866,Cattle,1963,1963,Head,0,,Official data
TA,Live animals,44,Colombia,5608,Import Quantity,866,Cattle,1963,1963,Head,96,,Official data
TA,Live animals,44,Colombia,5908,Export Quantity,866,Cattle,1963,1963,Head,100000,,Official data
TA,Live animals,58,Ecuador,5608,Import Quantity,866,Cattle,1963,1963,Head,145,,Official data
TA,Live animals,58,Ecuador,5908,Export Quantity,866,Cattle,1963,1963,Head,1795,,Official data
TA,Live animals,9,Argentina,5608,Import Quantity,866,Cattle,1963,1963,Head,313,,Official data
TA,Live animals,9,Argentina,5908,Export Quantity,866,Cattle,1963,1963,Head,291819,,Official data
TA,Live animals,169,Paraguay,5608,Import Quantity,976,Sheep,1963,1963,Head,0,,Official data
TA,Live animals,169,Paraguay,5908,Export Quantity,976,Sheep,1963,1963,Head,,M,Data not available
TA,Live animals,170,Peru,5608,Import Quantity,976,Sheep,1963,1963,Head,1504,,Official data
TA,Live animals,170,Peru,5908,Export Quantity,976,Sheep,1963,1963,Head,0,,Official data
TA,Live animals,19,Bolivia (Plurinational State of),5608,Import Quantity,976,Sheep,1963,1963,Head,70,,Official data
TA,Live animals,21,Brazil,5608,Import Quantity,976,Sheep,1963,1963,Head,184159,,Official data
TA,Live animals,21,Brazil,5908,Export Quantity,976,Sheep,1963,1963,Head,12,,Official data
TA,Live animals,234,Uruguay,5608,Import Quantity,976,Sheep,1963,1963,Head,39,,Official data
TA,Live animals,234,Uruguay,5908,Export Quantity,976,Sheep,1963,1963,Head,195072,,Official data
TA,Live animals,236,Venezuela (Bolivarian Republic of),5608,Import Quantity,976,Sheep,1963,1963,Head,130,*,Unofficial figure
TA,Live animals,236,Venezuela (Bolivarian Republic of),5908,Export Quantity,976,Sheep,1963,1963,Head,0,,Official data
TA,Live animals,44,Colombia,5608,Import Quantity,976,Sheep,1963,1963,Head,2000,,Official data
TA,Live animals,169,Paraguay,5608,Import Quantity,1016,Goats,1963,1963,Head,,M,Data not available
TA,Live animals,170,Peru,5608,Import Quantity,1016,Goats,1963,1963,Head,0,,Official data
TA,Live animals,19,Bolivia (Plurinational State of),5608,Import Quantity,1016,Goats,1963,1963,Head,0,,Official data
TA,Live animals,21,Brazil,5608,Import Quantity,1016,Goats,1963,1963,Head,10,,Official data
TA,Live animals,21,Brazil,5908,Export Quantity,1016,Goats,1963,1963,Head,0,,Official data
TA,Live animals,234,Uruguay,5608,Import Quantity,1016,Goats,1963,1963,Head,0,,Official data
TA,Live animals,234,Uruguay,5908,Export Quantity,1016,Goats,1963,1963,Head,,M,Data not available
TA,Live animals,236,Venezuela (Bolivarian Republic of),5608,Import Quantity,1016,Goats,1963,1963,Head,0,,Official data
TA,Live animals,236,Venezuela (Bolivarian Republic of),5908,Export Quantity,1016,Goats,1963,1963,Head,0,,Official data
TA,Live animals,44,Colombia,5608,Import Quantity,1016,Goats,1963,1963,Head,0,,Official data
TA,Live animals,44,Colombia,5908,Export Quantity,1016,Goats,1963,1963,Head,0,,Official data
TA,Live animals,58,Ecuador,5608,Import Quantity,1016,Goats,1963,1963,Head,,M,Data not available
TA,Live animals,9,Argentina,5608,Import Quantity,1016,Goats,1963,1963,Head,0,,Official data
TA,Live animals,9,Argentina,5908,Export Quantity,1016,Goats,1963,1963,Head,0,,Official data
TA,Live animals,169,Paraguay,5608,Import Quantity,1034,Pigs,1963,1963,Head,0,,Official data
TA,Live animals,170,Peru,5608,Import Quantity,1034,Pigs,1963,1963,Head,0,,Official data
TA,Live animals,170,Peru,5908,Export Quantity,1034,Pigs,1963,1963,Head,0,,Official data
