"from","to","distance","flow","year","popFrom","popTo","year.1"
"Chile","Brazil",3263.9546339556,0,"1989",4720800,20041456,"1989"
"Colombia","Brazil",2751.42249501054,0,"1989",2545000,20041456,"1989"
"Ecuador","Brazil",2984.04262936217,0,"1989",1329000,20041456,"1989"
"Paraguay","Brazil",1489.69662074046,0,"1989",451100,20041456,"1989"
"Peru","Brazil",2335.42519419623,0,"1989",12970400,20041456,"1989"
"Uruguay","Brazil",2459.62642648411,2,"1989",24871584,20041456,"1989"
"Venezuela","Brazil",2467.66256692768,0,"1989",335900,20041456,"1989"
"Argentina","Chile",549.236062178285,208,"1989",29345008,4720800,"1989"
"Bolivia","Chile",2150.12404536596,0,"1989",7701137,4720800,"1989"
"Brazil","Chile",3263.9546339556,0,"1989",20041456,4720800,"1989"
"Chile","Chile",0,0,"1989",4720800,4720800,"1989"
"Colombia","Chile",4348.83354270014,0,"1989",2545000,4720800,"1989"
"Ecuador","Chile",3824.43442207705,0,"1989",1329000,4720800,"1989"
"Paraguay","Chile",1812.53392353318,0,"1989",451100,4720800,"1989"
"Peru","Chile",2907.26314858048,0,"1989",12970400,4720800,"1989"
"Uruguay","Chile",1425.34334919956,0,"1989",24871584,4720800,"1989"
"Venezuela","Chile",4731.36564349597,0,"1989",335900,4720800,"1989"
"Argentina","Colombia",4428.06221883752,0,"1989",29345008,2545000,"1989"
"Bolivia","Colombia",2474.21126193179,0,"1989",7701137,2545000,"1989"
"Brazil","Colombia",2751.42249501054,0,"1989",20041456,2545000,"1989"
"Chile","Colombia",4348.83354270014,0,"1989",4720800,2545000,"1989"
"Colombia","Colombia",0,0,"1989",2545000,2545000,"1989"
"Ecuador","Colombia",840.344466338468,0,"1989",1329000,2545000,"1989"
"Paraguay","Colombia",3415.921941428,0,"1989",451100,2545000,"1989"
"Peru","Colombia",1462.40463082501,0,"1989",12970400,2545000,"1989"
"Uruguay","Colombia",4461.84126189406,0,"1989",24871584,2545000,"1989"
"Venezuela","Colombia",840.85503052881,0,"1989",335900,2545000,"1989"
"Argentina","Ecuador",3999.3326249303,0,"1989",29345008,1329000,"1989"
"Bolivia","Ecuador",2272.50983152685,0,"1989",7701137,1329000,"1989"
"Brazil","Ecuador",2984.04262936217,0,"1989",20041456,1329000,"1989"
"Chile","Ecuador",3824.43442207705,0,"1989",4720800,1329000,"1989"
"Colombia","Ecuador",840.344466338468,0,"1989",2545000,1329000,"1989"
"Ecuador","Ecuador",0,0,"1989",1329000,1329000,"1989"
"Paraguay","Ecuador",3250.23740422779,0,"1989",451100,1329000,"1989"
"Peru","Ecuador",970.593580094301,0,"1989",12970400,1329000,"1989"
"Uruguay","Ecuador",4202.77606287468,0,"1989",24871584,1329000,"1989"
"Venezuela","Ecuador",1657.06351856764,0,"1989",335900,1329000,"1989"
"Argentina","Paraguay",1481.30586680423,0,"1989",29345008,451100,"1989"
"Bolivia","Paraguay",978.129744567879,0,"1989",7701137,451100,"1989"
"Brazil","Paraguay",1489.69662074046,113,"1989",20041456,451100,"1989"
"Chile","Paraguay",1812.53392353318,0,"1989",4720800,451100,"1989"
"Colombia","Paraguay",3415.921941428,0,"1989",2545000,451100,"1989"
"Ecuador","Paraguay",3250.23740422779,0,"1989",1329000,451100,"1989"
"Paraguay","Paraguay",0,0,"1989",451100,451100,"1989"
